[keep as it],category,title,linktext,url,author,illustrator,ages,grades,description,year
,exhibit,Passion,Passion for Purpose,/files/06_Passion_FS-LP_2022-09-29.pdf,,,,5th,"The art project is to connect passion to them individually and get them excited about what they already love to do could have a potential influence over the world. They will dive deeper into their passion to reflect on why they love it, what influenced them to love it, and how it could influence others. After they are all complete they will be put together as one large hand holding up a picture/paper collage of the world- showing how small passions, when put together and spread to others can create great change! The overall purpose will be to relate individual passions and how they can influence the world when small changes are all put together. This is important because it does not feel like our passions and our small choices can do great things but they can",
,exhibit,Leadership,Who is a leader in your life?,/files/07_Leadership_FS-LP_2022-09-30.pdf,,,,4th,"Our theme is leadership. We will learn about the historical event of Freedom Summer in 1964. Specifically we will discuss Bob Moses and roles he played as a leader of the movement. The purpose is for students to learn about what it takes to be a leader and discuss characteristics of a leader. The students will make a powerful connection to one person that they would consider a leader or a role model in their life and identify leadership qualities in that person. Students will take the photograph of the leader, cut it symmetrically down the middle, and glue the left half to the left side of the paper. Then the students will attempt to draw the right side to the best of their ability.",
,exhibit,Unity,A Classroom United,/files/08_Unity_FS-LP_2022-09-29.pdf,,,,4th,"In this lesson, the students will understand the meaning of unity and how it comes into reality within their own lives. The students will view an image of Fannie Lou Hamer from Freedom Summer and understand how the picture represents music bringing people together in a tough time. Students will then think about what unity means in their own lives and show it through a drawing. After the students complete this portion of the project, the teacher will bring the class together and explain how their classroom is also a form of unity. We will hang their art in the classroom as a daily reminder that they can feel united with their classmates and peers.",
,exhibit,Empowerment,Empowering Today for an Empowered Tomorrow,/files/09_Empowerment_FS-LP_2022-09-29.pdf,,,,5th," We will learn about empowerment, what makes you feel empowered and how you can make other people feel empowered. Groups of three will discuss positive characteristics of your peers to help empower them. Next, each student will make a collage of empowering words from magazines and newspapers. For this activity, we will learn about John Lewis and how he empowered others throughout the Civil Rights Movement and for decades beyond. We will connect this to students empowering each other, and the importance of this in daily life.",
,exhibit,Injustice,Defining Injustice,,,,,5th,"This lesson aims to attentively expose and teach young students about important social issues in today’s society. More specifically, how injustice affects Black individuals as well as how this is documented in art. 5th graders are at an age where they are beginning to form a more concrete understanding of their society and overall environment. Therefore, it is crucial that teachers meticulously integrate this information into their curriculum. For this lesson, students will create a painting that represents something of significance to them (a family member, a hobby, and/or tv show, etc.) and will be given a short writing assignment after, where they reflect on how they would feel if this was taken away from them. This project will give students an idea of what it is like for those who face injustice, how having these important things taken away is unfair, and overall how injustice brings additional hardships into a person’s life.",
,exhibit,Memory,Memorial for your Memories,/files/11_Memory_FS-LP_2022-09-29.pdf,,,,4th,"Memorials are an important part of our world, as they are physical reminders of events in the past. Over the course of two days, students will be learning about different memorials, mainly the Freedom Summer memorial, and creating their own memorial for a memory that is important to them. Students will be using a photograph or a physical object as a base for their piece, with an artistic representation of their memory behind this physical object.",
,exhibit,Contribute,How Can You Make a Difference?,,,,,4th and 5th,"In this lesson we explore the theme of contributing.  We will look at the image and talk about Freedom Summer and how everyday people can make a difference in their communities. Students will discuss different ways in which they can use library materials to select materials, read, empathize, reflect and share ideas to pursue personal growth and to improve society.",
,standard,,Ohio Social Studies Standards,https://education.ohio.gov/getattachment/Topics/Learning-in-Ohio/Social-Studies/Ohio-s-Learning-Standards-for-Social-Studies/SSFinalStandards01019.pdf.aspx?lang=en-US,,,,,,
,standard,,Ohio Art Standards,https://education.ohio.gov/Topics/Learning-in-Ohio/Fine-Arts/Fine-Arts-Standards,,,,,Note that Visual Art Standards are currently under review for 2022 update,
,standard,,Ohio Social Emotional Learning Standards,/files/SEL-Standards-K-12.pdf,,,,,,
